ogrenci_no,cinsiyet,yontem,basari_puani
1,Kadın,Deney,66
2,Erkek,Deney,77
3,Erkek,Deney,85
4,Kadın,Deney,74
5,Kadın,Deney,76
6,Erkek,Deney,68
7,Kadın,Deney,71
8,Erkek,Deney,70
9,Erkek,Deney,70
10,Kadın,Deney,68
11,Kadın,Deney,77
12,Erkek,Deney,85
13,Erkek,Deney,64
14,Erkek,Deney,86
15,Kadın,Deney,69
16,Kadın,Deney,70
17,Kadın,Deney,54
18,Erkek,Deney,51
19,Erkek,Deney,80
20,Kadın,Deney,63
21,Erkek,Deney,80
22,Erkek,Deney,73
23,Kadın,Deney,75
24,Erkek,Deney,85
25,Kadın,Deney,72
26,Kadın,Deney,44
27,Erkek,Deney,57
28,Kadın,Deney,82
29,Erkek,Deney,91
30,Erkek,Deney,72
31,Erkek,Deney,67
32,Erkek,Deney,60
33,Erkek,Deney,78
34,Kadın,Deney,57
35,Kadın,Deney,62
36,Kadın,Deney,74
37,Kadın,Deney,74
38,Erkek,Deney,71
39,Kadın,Deney,83
40,Kadın,Deney,62
41,Erkek,Deney,62
42,Erkek,Deney,69
43,Kadın,Deney,74
44,Kadın,Deney,70
45,Kadın,Deney,91
46,Kadın,Deney,68
47,Kadın,Deney,79
48,Kadın,Deney,68
49,Kadın,Deney,76
50,Erkek,Deney,69
51,Erkek,Deney,69
52,Erkek,Deney,88
53,Kadın,Deney,70
54,Erkek,Deney,88
55,Erkek,Deney,66
56,Kadın,Deney,69
57,Kadın,Deney,83
58,Erkek,Deney,51
59,Kadın,Deney,58
60,Erkek,Deney,73
61,Kadın,Kontrol,70
62,Kadın,Kontrol,71
63,Erkek,Kontrol,63
64,Erkek,Kontrol,53
65,Erkek,Kontrol,74
66,Erkek,Kontrol,70
67,Kadın,Kontrol,56
68,Erkek,Kontrol,67
69,Kadın,Kontrol,82
70,Kadın,Kontrol,67
71,Erkek,Kontrol,55
72,Kadın,Kontrol,62
73,Kadın,Kontrol,63
74,Erkek,Kontrol,69
75,Erkek,Kontrol,74
76,Erkek,Kontrol,57
77,Kadın,Kontrol,60
78,Erkek,Kontrol,75
79,Erkek,Kontrol,73
80,Kadın,Kontrol,78
81,Kadın,Kontrol,53
82,Kadın,Kontrol,57
83,Kadın,Kontrol,75
84,Kadın,Kontrol,57
85,Kadın,Kontrol,69
86,Kadın,Kontrol,65
87,Erkek,Kontrol,59
88,Kadın,Kontrol,79
89,Kadın,Kontrol,66
90,Kadın,Kontrol,61
91,Kadın,Kontrol,65
92,Kadın,Kontrol,68
93,Kadın,Kontrol,52
94,Kadın,Kontrol,58
95,Kadın,Kontrol,54
96,Erkek,Kontrol,47
97,Kadın,Kontrol,75
98,Kadın,Kontrol,79
99,Kadın,Kontrol,77
100,Erkek,Kontrol,50
101,Erkek,Kontrol,70
102,Erkek,Kontrol,72
103,Kadın,Kontrol,61
104,Erkek,Kontrol,73
105,Erkek,Kontrol,56
106,Kadın,Kontrol,56
107,Kadın,Kontrol,58
108,Erkek,Kontrol,59
109,Kadın,Kontrol,57
110,Kadın,Kontrol,75
111,Kadın,Kontrol,56
112,Erkek,Kontrol,62
113,Kadın,Kontrol,60
114,Erkek,Kontrol,86
115,Erkek,Kontrol,58
116,Kadın,Kontrol,70
117,Erkek,Kontrol,83
118,Erkek,Kontrol,55
119,Kadın,Kontrol,58
120,Kadın,Kontrol,63
