ogrenci_no,on_test,son_test
1,74,76
2,46,64
3,42,42
4,50,69
5,41,51
6,71,84
7,64,75
8,61,70
9,70,86
10,47,56
11,40,43
12,58,67
13,57,55
14,45,53
15,60,57
16,70,79
17,48,62
18,56,69
19,58,66
20,59,51
21,65,71
22,60,78
23,69,74
24,45,58
25,49,54
26,63,82
27,49,45
28,48,54
29,53,60
30,58,70
31,49,58
32,61,71
33,69,63
34,34,56
35,29,39
36,62,67
37,45,63
38,70,72
39,86,97
40,52,68
41,50,64
42,54,65
43,57,66
44,54,56
45,44,55
46,59,59
47,32,48
48,58,73
49,55,64
50,68,65
51,56,69
52,59,73
53,44,46
54,56,62
55,63,73
56,65,79
57,55,62
58,71,75
59,68,74
60,47,50
61,27,48
62,42,63
63,55,51
64,56,62
65,51,70
66,49,68
67,61,83
68,48,65
69,31,43
70,51,62
71,65,83
72,45,57
73,61,59
74,60,70
75,54,51
76,58,73
77,44,55
78,55,63
79,71,81
80,53,51
