ogrenci_no,sinif_duzeyi,kaygi_puani
1,1. sınıf,38
2,1. sınıf,40
3,1. sınıf,37
4,1. sınıf,46
5,1. sınıf,39
6,1. sınıf,57
7,1. sınıf,36
8,1. sınıf,36
9,1. sınıf,33
10,1. sınıf,47
11,1. sınıf,35
12,1. sınıf,53
13,1. sınıf,38
14,1. sınıf,50
15,1. sınıf,59
16,1. sınıf,38
17,1. sınıf,19
18,1. sınıf,49
19,1. sınıf,49
20,1. sınıf,44
21,1. sınıf,44
22,1. sınıf,53
23,1. sınıf,31
24,1. sınıf,44
25,1. sınıf,59
26,1. sınıf,39
27,1. sınıf,43
28,1. sınıf,43
29,1. sınıf,52
30,1. sınıf,31
31,1. sınıf,41
32,1. sınıf,51
33,1. sınıf,54
34,1. sınıf,35
35,1. sınıf,48
36,1. sınıf,43
37,1. sınıf,48
38,1. sınıf,56
39,1. sınıf,32
40,1. sınıf,37
41,2. sınıf,46
42,2. sınıf,31
43,2. sınıf,34
44,2. sınıf,46
45,2. sınıf,53
46,2. sınıf,49
47,2. sınıf,44
48,2. sınıf,48
49,2. sınıf,52
50,2. sınıf,51
51,2. sınıf,37
52,2. sınıf,36
53,2. sınıf,55
54,2. sınıf,34
55,2. sınıf,55
56,2. sınıf,53
57,2. sınıf,43
58,2. sınıf,49
59,2. sınıf,53
60,2. sınıf,45
61,2. sınıf,42
62,2. sınıf,53
63,2. sınıf,53
64,2. sınıf,57
65,2. sınıf,40
66,2. sınıf,51
67,2. sınıf,48
68,2. sınıf,56
69,2. sınıf,46
70,2. sınıf,40
71,2. sınıf,51
72,2. sınıf,34
73,2. sınıf,40
74,2. sınıf,47
75,2. sınıf,57
76,2. sınıf,36
77,2. sınıf,44
78,2. sınıf,44
79,2. sınıf,32
80,2. sınıf,51
81,3. sınıf,48
82,3. sınıf,51
83,3. sınıf,54
84,3. sınıf,43
85,3. sınıf,43
86,3. sınıf,64
87,3. sınıf,52
88,3. sınıf,61
89,3. sınıf,64
90,3. sınıf,56
91,3. sınıf,45
92,3. sınıf,68
93,3. sınıf,51
94,3. sınıf,48
95,3. sınıf,56
96,3. sınıf,60
97,3. sınıf,57
98,3. sınıf,50
99,3. sınıf,60
100,3. sınıf,47
101,3. sınıf,56
102,3. sınıf,51
103,3. sınıf,46
104,3. sınıf,59
105,3. sınıf,57
106,3. sınıf,49
107,3. sınıf,48
108,3. sınıf,54
109,3. sınıf,61
110,3. sınıf,65
111,3. sınıf,49
112,3. sınıf,59
113,3. sınıf,62
114,3. sınıf,45
115,3. sınıf,53
116,3. sınıf,42
117,3. sınıf,52
118,3. sınıf,59
119,3. sınıf,56
120,3. sınıf,61
121,4. sınıf,58
122,4. sınıf,48
123,4. sınıf,57
124,4. sınıf,69
125,4. sınıf,48
126,4. sınıf,75
127,4. sınıf,57
128,4. sınıf,56
129,4. sınıf,50
130,4. sınıf,69
131,4. sınıf,32
132,4. sınıf,61
133,4. sınıf,69
134,4. sınıf,58
135,4. sınıf,60
136,4. sınıf,73
137,4. sınıf,47
138,4. sınıf,64
139,4. sınıf,51
140,4. sınıf,57
141,4. sınıf,68
142,4. sınıf,51
143,4. sınıf,60
144,4. sınıf,49
145,4. sınıf,56
146,4. sınıf,62
147,4. sınıf,61
148,4. sınıf,55
149,4. sınıf,56
150,4. sınıf,59
151,4. sınıf,55
152,4. sınıf,52
153,4. sınıf,75
154,4. sınıf,59
155,4. sınıf,50
156,4. sınıf,82
157,4. sınıf,63
158,4. sınıf,54
159,4. sınıf,59
160,4. sınıf,54
