katilimci_no,bolum,memnuniyet_puani
1,Eğitim Bilimleri,63.6
2,Eğitim Bilimleri,59.5
3,Eğitim Bilimleri,63.8
4,Eğitim Bilimleri,65.6
5,Eğitim Bilimleri,63.2
6,Eğitim Bilimleri,61.9
7,Eğitim Bilimleri,63.2
8,Eğitim Bilimleri,67.5
9,Eğitim Bilimleri,56.2
10,Eğitim Bilimleri,68.6
11,Eğitim Bilimleri,60.0
12,Eğitim Bilimleri,60.9
13,Eğitim Bilimleri,60.0
14,Eğitim Bilimleri,59.1
15,Eğitim Bilimleri,61.0
16,Eğitim Bilimleri,63.8
17,Eğitim Bilimleri,63.5
18,Eğitim Bilimleri,63.5
19,Eğitim Bilimleri,61.3
20,Eğitim Bilimleri,65.3
21,Eğitim Bilimleri,57.7
22,Eğitim Bilimleri,63.7
23,Eğitim Bilimleri,63.0
24,Eğitim Bilimleri,65.0
25,Eğitim Bilimleri,66.6
26,Eğitim Bilimleri,53.2
27,Eğitim Bilimleri,61.5
28,Eğitim Bilimleri,61.0
29,Eğitim Bilimleri,58.5
30,Eğitim Bilimleri,54.2
31,Eğitim Bilimleri,65.6
32,Eğitim Bilimleri,66.2
33,Eğitim Bilimleri,64.4
34,Eğitim Bilimleri,62.6
35,Eğitim Bilimleri,60.3
36,Eğitim Bilimleri,62.4
37,Eğitim Bilimleri,62.1
38,Eğitim Bilimleri,49.6
39,Eğitim Bilimleri,65.1
40,Eğitim Bilimleri,66.5
41,Eğitim Bilimleri,61.0
42,Eğitim Bilimleri,61.8
43,Eğitim Bilimleri,71.8
44,Eğitim Bilimleri,57.8
45,Eğitim Bilimleri,58.8
46,İşletme,56.8
47,İşletme,58.1
48,İşletme,65.4
49,İşletme,62.0
50,İşletme,79.4
51,İşletme,55.5
52,İşletme,46.1
53,İşletme,83.2
54,İşletme,66.6
55,İşletme,43.4
56,İşletme,74.2
57,İşletme,68.2
58,İşletme,65.5
59,İşletme,41.7
60,İşletme,46.6
61,İşletme,52.6
62,İşletme,83.6
63,İşletme,16.8
64,İşletme,72.4
65,İşletme,72.0
66,İşletme,91.0
67,İşletme,52.7
68,İşletme,43.2
69,İşletme,35.9
70,İşletme,51.5
71,İşletme,74.7
72,İşletme,33.9
73,İşletme,71.5
74,İşletme,60.8
75,İşletme,80.1
76,İşletme,63.7
77,İşletme,63.1
78,İşletme,48.1
79,İşletme,47.3
80,İşletme,57.5
81,İşletme,42.3
82,İşletme,79.6
83,İşletme,51.6
84,İşletme,54.5
85,İşletme,56.6
86,İşletme,90.5
87,İşletme,79.1
88,İşletme,95.0
89,İşletme,58.6
90,İşletme,59.1
91,Psikoloji,71.3
92,Psikoloji,66.2
93,Psikoloji,75.2
94,Psikoloji,68.0
95,Psikoloji,61.5
96,Psikoloji,61.8
97,Psikoloji,55.8
98,Psikoloji,60.4
99,Psikoloji,67.0
100,Psikoloji,61.2
101,Psikoloji,59.7
102,Psikoloji,62.2
103,Psikoloji,66.8
104,Psikoloji,63.1
105,Psikoloji,65.0
106,Psikoloji,70.8
107,Psikoloji,63.9
108,Psikoloji,59.9
109,Psikoloji,73.0
110,Psikoloji,70.5
111,Psikoloji,76.2
112,Psikoloji,64.9
113,Psikoloji,66.8
114,Psikoloji,67.5
115,Psikoloji,68.7
116,Psikoloji,69.2
117,Psikoloji,66.0
118,Psikoloji,80.7
119,Psikoloji,72.1
120,Psikoloji,64.2
121,Psikoloji,59.0
122,Psikoloji,66.9
123,Psikoloji,66.1
124,Psikoloji,58.6
125,Psikoloji,76.0
126,Psikoloji,74.9
127,Psikoloji,69.2
128,Psikoloji,66.2
129,Psikoloji,78.3
130,Psikoloji,56.9
131,Psikoloji,56.7
132,Psikoloji,59.1
133,Psikoloji,58.7
134,Psikoloji,60.2
135,Psikoloji,58.8
