katilimci_no,arayuz,tepki_suresi_sn
1,Klasik,4.58
2,Klasik,1.47
3,Klasik,3.13
4,Klasik,1.24
5,Klasik,2.32
6,Klasik,2.36
7,Klasik,3.47
8,Klasik,1.93
9,Klasik,3.5
10,Klasik,1.69
11,Klasik,1.92
12,Klasik,1.57
13,Klasik,5.91
14,Klasik,0.83
15,Klasik,3.49
16,Klasik,1.19
17,Klasik,2.64
18,Klasik,2.82
19,Klasik,4.24
20,Klasik,3.59
21,Klasik,1.56
22,Klasik,3.09
23,Klasik,4.08
24,Klasik,5.32
25,Klasik,2.06
26,Klasik,2.04
27,Klasik,2.95
28,Klasik,1.51
29,Klasik,3.36
30,Klasik,4.61
31,Klasik,2.0
32,Klasik,3.52
33,Klasik,3.64
34,Klasik,4.74
35,Klasik,1.95
36,Klasik,1.42
37,Klasik,1.12
38,Klasik,3.18
39,Klasik,4.31
40,Klasik,3.17
41,Klasik,4.04
42,Klasik,1.79
43,Klasik,3.55
44,Klasik,1.32
45,Klasik,1.84
46,Klasik,0.92
47,Klasik,2.9
48,Klasik,2.33
49,Klasik,1.83
50,Klasik,2.57
51,Klasik,1.57
52,Klasik,6.23
53,Klasik,1.75
54,Klasik,6.78
55,Klasik,4.07
56,Yenilenmiş,2.01
57,Yenilenmiş,3.75
58,Yenilenmiş,1.93
59,Yenilenmiş,1.96
60,Yenilenmiş,3.25
61,Yenilenmiş,1.38
62,Yenilenmiş,2.21
63,Yenilenmiş,6.5
64,Yenilenmiş,1.92
65,Yenilenmiş,1.1
66,Yenilenmiş,1.08
67,Yenilenmiş,1.06
68,Yenilenmiş,1.8
69,Yenilenmiş,2.79
70,Yenilenmiş,2.51
71,Yenilenmiş,1.0
72,Yenilenmiş,2.39
73,Yenilenmiş,3.79
74,Yenilenmiş,1.28
75,Yenilenmiş,2.91
76,Yenilenmiş,3.11
77,Yenilenmiş,3.06
78,Yenilenmiş,0.56
79,Yenilenmiş,2.05
80,Yenilenmiş,1.6
81,Yenilenmiş,1.75
82,Yenilenmiş,0.99
83,Yenilenmiş,5.08
84,Yenilenmiş,1.45
85,Yenilenmiş,2.65
86,Yenilenmiş,2.47
87,Yenilenmiş,1.55
88,Yenilenmiş,1.8
89,Yenilenmiş,3.24
90,Yenilenmiş,0.93
91,Yenilenmiş,0.95
92,Yenilenmiş,1.51
93,Yenilenmiş,2.56
94,Yenilenmiş,1.25
95,Yenilenmiş,2.65
96,Yenilenmiş,1.45
97,Yenilenmiş,0.89
98,Yenilenmiş,1.55
99,Yenilenmiş,1.17
100,Yenilenmiş,1.73
101,Yenilenmiş,0.82
102,Yenilenmiş,2.05
103,Yenilenmiş,2.04
104,Yenilenmiş,1.33
105,Yenilenmiş,1.02
106,Yenilenmiş,1.2
107,Yenilenmiş,0.79
108,Yenilenmiş,1.97
109,Yenilenmiş,0.82
110,Yenilenmiş,1.13
