ogrenci_no,haftalik_calisma_saati,gunluk_uyku_saati,motivasyon_puani,akademik_ortalama
1,15.0,6.3,58,2.57
2,20.5,6.9,59,3.21
3,15.4,8.1,58,2.59
4,17.9,6.0,49,2.68
5,16.9,6.9,56,2.85
6,17.0,7.1,57,2.82
7,8.3,5.8,61,2.61
8,18.9,5.4,61,3.47
9,16.5,6.6,66,2.64
10,8.6,6.2,53,2.76
11,11.2,7.0,57,2.45
12,12.5,8.5,68,3.36
13,21.5,6.6,58,2.94
14,20.0,8.1,78,3.21
15,13.6,7.2,61,2.97
16,11.4,5.8,74,3.39
17,9.9,5.7,66,2.54
18,10.1,5.3,53,2.17
19,11.2,6.1,58,2.92
20,11.7,6.0,69,2.71
21,16.2,7.0,73,2.76
22,13.1,7.6,61,2.54
23,9.5,5.3,64,2.43
24,16.0,5.1,73,3.54
25,14.9,6.3,65,3.23
26,10.4,6.4,76,3.2
27,12.1,7.1,53,3.0
28,18.2,7.8,51,3.16
29,14.8,6.0,65,3.12
30,14.3,5.0,51,2.6
31,12.0,5.7,43,2.96
32,9.2,5.6,54,2.19
33,12.9,6.1,77,3.05
34,17.6,6.4,66,3.52
35,17.5,7.9,69,3.01
36,18.8,6.8,59,3.48
37,23.0,5.6,64,3.32
38,16.7,6.5,60,2.63
39,17.2,6.6,63,3.09
40,13.0,4.9,69,2.67
41,15.4,6.3,72,2.94
42,16.4,6.9,65,2.69
43,11.8,7.7,59,2.72
44,17.0,6.8,75,3.64
45,12.2,5.9,61,2.82
46,14.4,8.4,60,3.14
47,12.3,5.8,67,3.14
48,15.4,9.1,68,3.24
49,20.8,6.9,77,3.31
50,16.6,6.9,90,3.3
51,14.5,7.5,60,2.93
52,6.7,5.7,70,2.59
53,15.2,6.4,72,2.9
54,10.1,6.3,67,2.55
55,21.1,6.7,54,3.27
56,12.6,6.4,75,3.09
57,9.1,5.6,77,3.08
58,10.6,5.9,72,2.8
59,15.3,7.5,58,3.26
60,6.1,5.1,63,2.52
61,13.3,6.9,74,2.86
62,15.5,5.6,86,2.62
63,16.5,4.1,66,2.88
64,12.5,7.0,48,2.12
65,9.9,5.2,62,2.23
66,17.9,5.9,79,3.2
67,16.0,7.1,55,3.25
68,11.4,6.5,48,2.79
69,14.7,7.0,59,2.62
70,13.2,7.0,76,2.93
71,16.7,7.6,61,2.9
72,10.1,7.1,62,2.73
73,8.8,5.9,59,2.35
74,15.3,8.1,75,3.28
75,16.1,7.9,59,3.36
76,12.1,7.0,66,3.11
77,13.4,7.4,71,2.89
78,7.6,5.9,55,2.55
79,8.7,6.4,50,2.85
80,14.0,7.0,77,3.34
81,12.9,5.5,65,3.2
82,16.0,7.2,65,3.57
83,12.4,6.0,59,2.23
84,16.6,8.8,71,3.08
85,8.9,7.5,56,2.7
86,14.5,6.6,57,2.97
87,13.3,7.4,78,3.39
88,11.2,6.4,68,3.25
89,15.4,7.5,68,3.22
90,14.4,5.4,47,2.66
91,10.0,8.1,45,2.34
92,18.0,7.5,69,2.92
93,22.4,6.6,67,3.87
94,11.0,7.8,45,2.45
95,12.9,6.9,61,2.78
96,13.9,7.6,72,3.27
97,16.8,8.7,78,3.71
98,16.9,6.9,81,3.29
99,15.6,4.9,66,2.9
100,18.0,6.8,56,2.9
101,12.2,6.9,53,2.8
102,12.6,7.5,68,3.43
103,16.0,7.5,74,3.12
104,13.4,6.9,67,2.85
105,11.4,6.6,62,2.39
106,13.1,4.4,60,2.58
107,13.8,8.2,51,3.0
108,5.4,7.8,76,2.35
109,9.6,6.5,68,2.72
110,14.6,7.5,49,2.24
111,17.2,5.7,63,3.47
112,15.4,6.2,35,2.55
113,17.1,6.8,70,3.23
114,13.1,6.4,57,2.97
115,6.3,4.9,32,1.73
116,14.4,5.3,85,2.99
117,12.7,7.8,57,2.82
118,15.8,5.8,72,3.07
119,15.8,7.6,55,2.89
120,11.7,4.8,49,2.52
121,17.4,6.0,67,3.19
122,18.0,6.1,62,2.93
123,12.8,7.7,66,3.47
124,17.4,5.8,62,3.32
125,12.2,7.9,50,3.05
126,16.6,6.3,70,2.95
127,13.9,8.0,65,3.64
128,6.9,5.2,65,2.8
129,15.9,5.4,55,2.92
130,13.6,7.3,55,2.92
131,9.9,5.8,62,3.19
132,15.3,8.0,59,3.01
133,14.4,6.2,53,2.43
134,17.8,6.4,50,3.19
135,15.0,7.2,57,2.88
136,11.1,7.6,61,2.57
137,11.9,6.1,63,2.58
138,17.5,7.5,68,2.95
139,14.8,7.2,75,2.91
140,12.4,8.5,80,3.54
141,5.7,6.2,60,2.84
142,10.4,6.7,49,2.13
143,16.7,6.1,66,3.22
144,17.2,6.3,55,3.44
145,20.4,6.7,52,3.14
146,15.7,7.0,58,2.81
147,3.4,6.7,63,2.18
148,15.2,8.0,67,2.64
149,17.0,6.7,72,3.4
150,19.8,7.0,73,2.72
