katilimci_no,cinsiyet,arastirma_yontemi_tercihi
1,Erkek,Karma
2,Kadın,Nicel
3,Erkek,Nitel
4,Kadın,Nitel
5,Erkek,Nicel
6,Erkek,Nicel
7,Kadın,Nitel
8,Kadın,Nicel
9,Erkek,Nitel
10,Erkek,Nitel
11,Erkek,Nitel
12,Kadın,Karma
13,Erkek,Nitel
14,Erkek,Nitel
15,Erkek,Nicel
16,Kadın,Karma
17,Erkek,Nicel
18,Kadın,Nicel
19,Kadın,Nitel
20,Erkek,Nicel
21,Erkek,Karma
22,Kadın,Nitel
23,Kadın,Nitel
24,Kadın,Nitel
25,Erkek,Nicel
26,Erkek,Nicel
27,Kadın,Nicel
28,Kadın,Karma
29,Erkek,Nicel
30,Erkek,Karma
31,Erkek,Nicel
32,Kadın,Nicel
33,Erkek,Nicel
34,Erkek,Karma
35,Erkek,Nicel
36,Kadın,Nitel
37,Erkek,Karma
38,Erkek,Karma
39,Erkek,Nicel
40,Erkek,Nicel
41,Erkek,Karma
42,Kadın,Nicel
43,Erkek,Nitel
44,Erkek,Nicel
45,Erkek,Nitel
46,Erkek,Nitel
47,Kadın,Nicel
48,Kadın,Nicel
49,Kadın,Nitel
50,Kadın,Nicel
51,Kadın,Nitel
52,Kadın,Nicel
53,Kadın,Nitel
54,Kadın,Nicel
55,Erkek,Nitel
56,Erkek,Nicel
57,Kadın,Nicel
58,Kadın,Nicel
59,Erkek,Nicel
60,Kadın,Nitel
61,Kadın,Nitel
62,Erkek,Nicel
63,Kadın,Nicel
64,Erkek,Nitel
65,Kadın,Karma
66,Kadın,Nicel
67,Erkek,Nicel
68,Kadın,Nitel
69,Kadın,Nitel
70,Erkek,Karma
71,Kadın,Nitel
72,Erkek,Nitel
73,Kadın,Nitel
74,Erkek,Nicel
75,Kadın,Karma
76,Kadın,Karma
77,Kadın,Karma
78,Erkek,Karma
79,Erkek,Nicel
80,Erkek,Karma
81,Kadın,Karma
82,Erkek,Nicel
83,Erkek,Karma
84,Kadın,Karma
85,Erkek,Nitel
86,Erkek,Nitel
87,Kadın,Nitel
88,Erkek,Karma
89,Kadın,Karma
90,Kadın,Nitel
91,Kadın,Nitel
92,Kadın,Karma
93,Erkek,Nicel
94,Erkek,Nicel
95,Erkek,Nicel
96,Kadın,Nicel
97,Erkek,Karma
98,Erkek,Nitel
99,Erkek,Nicel
100,Kadın,Karma
101,Erkek,Nitel
102,Kadın,Nitel
103,Erkek,Nicel
104,Erkek,Nicel
105,Kadın,Nitel
106,Kadın,Nitel
107,Kadın,Nicel
108,Kadın,Karma
109,Kadın,Nitel
110,Erkek,Nitel
111,Kadın,Nicel
112,Kadın,Nicel
113,Kadın,Nicel
114,Erkek,Nicel
115,Erkek,Nicel
116,Erkek,Nitel
117,Erkek,Nicel
118,Kadın,Nicel
119,Erkek,Nicel
120,Kadın,Karma
121,Kadın,Nicel
122,Erkek,Karma
123,Erkek,Nicel
124,Kadın,Nitel
125,Kadın,Nitel
126,Erkek,Karma
127,Erkek,Nitel
128,Kadın,Nitel
129,Erkek,Nitel
130,Kadın,Karma
131,Kadın,Nitel
132,Erkek,Nicel
133,Erkek,Nicel
134,Kadın,Nitel
135,Kadın,Nitel
136,Kadın,Nitel
137,Erkek,Nitel
138,Kadın,Karma
139,Erkek,Nicel
140,Erkek,Nitel
141,Kadın,Nicel
142,Kadın,Nicel
143,Kadın,Karma
144,Kadın,Nitel
145,Kadın,Nicel
146,Kadın,Nicel
147,Kadın,Nitel
148,Kadın,Karma
149,Erkek,Nitel
150,Kadın,Karma
151,Kadın,Nicel
152,Erkek,Nicel
153,Erkek,Nicel
154,Kadın,Nitel
155,Erkek,Nicel
156,Kadın,Nitel
157,Erkek,Nicel
158,Kadın,Nitel
159,Kadın,Nitel
160,Kadın,Nitel
161,Kadın,Karma
162,Erkek,Nicel
163,Erkek,Nicel
164,Erkek,Karma
165,Kadın,Nitel
166,Kadın,Nitel
167,Erkek,Nitel
168,Kadın,Nicel
169,Erkek,Karma
170,Erkek,Nicel
171,Kadın,Nitel
172,Erkek,Karma
173,Kadın,Nicel
174,Kadın,Nitel
175,Kadın,Karma
176,Kadın,Nitel
177,Erkek,Nicel
178,Kadın,Nicel
179,Erkek,Nicel
180,Kadın,Nitel
181,Kadın,Nitel
182,Erkek,Nicel
183,Erkek,Nicel
184,Erkek,Nicel
185,Erkek,Nitel
186,Erkek,Nicel
187,Erkek,Nicel
188,Erkek,Nicel
189,Kadın,Nicel
190,Erkek,Nitel
191,Kadın,Karma
192,Erkek,Nitel
193,Erkek,Nicel
194,Kadın,Karma
195,Kadın,Nitel
196,Kadın,Nicel
197,Kadın,Nitel
198,Erkek,Nitel
199,Kadın,Nicel
200,Erkek,Nicel
201,Kadın,Nicel
202,Kadın,Karma
203,Erkek,Nitel
204,Kadın,Nitel
205,Kadın,Karma
206,Kadın,Nitel
207,Kadın,Nitel
208,Kadın,Nicel
209,Erkek,Nicel
210,Kadın,Nicel
211,Kadın,Nicel
212,Erkek,Nicel
213,Kadın,Nitel
214,Erkek,Karma
215,Erkek,Nicel
216,Erkek,Nicel
217,Erkek,Karma
218,Erkek,Karma
219,Erkek,Nicel
220,Kadın,Nicel
221,Kadın,Nitel
222,Kadın,Karma
223,Erkek,Nicel
224,Erkek,Nicel
225,Erkek,Nitel
226,Erkek,Nitel
227,Erkek,Nitel
228,Erkek,Nicel
229,Erkek,Nicel
230,Erkek,Nitel
231,Erkek,Nitel
232,Kadın,Nitel
233,Kadın,Karma
234,Erkek,Nicel
235,Erkek,Nicel
236,Kadın,Nitel
237,Kadın,Nitel
238,Erkek,Nitel
239,Kadın,Nitel
240,Kadın,Nitel
241,Kadın,Nicel
242,Kadın,Nicel
243,Kadın,Nicel
244,Erkek,Karma
245,Erkek,Nicel
246,Kadın,Karma
247,Erkek,Nitel
248,Erkek,Nicel
249,Kadın,Nitel
250,Erkek,Nicel
251,Erkek,Nicel
252,Erkek,Nicel
253,Erkek,Nicel
254,Erkek,Karma
255,Erkek,Nicel
256,Erkek,Nicel
257,Kadın,Nitel
258,Kadın,Nitel
259,Erkek,Nicel
260,Kadın,Nitel
261,Kadın,Karma
262,Kadın,Karma
263,Kadın,Nitel
264,Kadın,Karma
265,Erkek,Nitel
266,Erkek,Karma
267,Kadın,Nicel
268,Erkek,Nicel
269,Kadın,Nicel
270,Kadın,Karma
271,Erkek,Karma
272,Kadın,Nicel
273,Erkek,Karma
274,Kadın,Karma
275,Erkek,Nicel
276,Kadın,Nitel
277,Kadın,Nicel
278,Erkek,Nicel
279,Erkek,Nitel
280,Kadın,Nitel
281,Erkek,Nitel
282,Erkek,Nitel
283,Kadın,Nicel
284,Erkek,Nitel
285,Kadın,Nitel
286,Kadın,Karma
287,Kadın,Nitel
288,Erkek,Nicel
289,Erkek,Nicel
290,Kadın,Nitel
291,Erkek,Nitel
292,Erkek,Nicel
293,Kadın,Nitel
294,Erkek,Nicel
295,Kadın,Karma
296,Erkek,Karma
297,Erkek,Nitel
298,Kadın,Nicel
299,Kadın,Karma
300,Kadın,Nitel
301,Kadın,Nitel
302,Kadın,Nicel
303,Kadın,Nitel
304,Erkek,Nitel
305,Kadın,Karma
306,Kadın,Nitel
307,Kadın,Karma
308,Erkek,Nicel
309,Kadın,Nitel
310,Kadın,Nicel
311,Erkek,Karma
312,Kadın,Nitel
313,Kadın,Nicel
314,Erkek,Karma
315,Erkek,Nitel
316,Kadın,Nitel
317,Kadın,Nitel
318,Kadın,Nitel
319,Kadın,Karma
320,Kadın,Nicel
321,Erkek,Nicel
322,Erkek,Karma
323,Kadın,Nitel
324,Erkek,Nicel
325,Erkek,Nicel
326,Kadın,Nicel
327,Kadın,Nitel
328,Kadın,Karma
329,Erkek,Nitel
330,Erkek,Nicel
