katilimci_no,madde_01,madde_02,madde_03,madde_04,madde_05,madde_06,madde_07,madde_08,madde_09,madde_10,madde_11,madde_12,madde_13,madde_14,madde_15,madde_16,madde_17,madde_18,madde_19,madde_20
1,3,4,3,3,2,1,2,2,2,2,2,2,3,2,3,4,3,4,1,3
2,5,3,4,5,2,4,4,4,5,4,5,5,5,4,3,3,5,2,5,4
3,3,2,4,4,4,3,3,5,5,5,3,4,5,5,3,4,4,4,5,4
4,4,3,3,2,4,4,1,1,3,2,3,3,3,3,3,3,3,3,4,4
5,4,4,3,3,4,2,3,3,3,4,5,2,4,5,3,4,3,2,4,3
6,4,2,3,4,3,5,4,3,3,3,4,3,3,3,4,4,4,3,3,4
7,2,2,2,2,1,3,2,2,1,1,3,1,2,1,2,1,2,3,2,1
8,3,2,4,4,4,4,3,4,4,4,4,3,3,5,3,4,3,4,3,3
9,4,3,3,3,4,2,4,4,4,3,4,4,4,4,4,3,3,4,4,3
10,3,4,3,5,3,5,3,2,4,3,3,4,2,3,4,4,4,4,4,4
11,5,5,3,3,3,4,4,3,2,3,2,4,1,3,3,3,4,4,4,4
12,4,4,3,2,3,3,2,3,3,2,3,2,4,4,2,4,3,4,4,3
13,2,4,2,4,2,3,2,2,3,3,4,2,1,3,2,3,3,4,4,3
14,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5
15,3,3,3,5,5,4,5,4,5,3,3,5,4,4,4,4,2,4,3,4
16,4,3,3,3,5,3,4,2,4,2,2,3,3,4,3,4,3,3,3,2
17,4,3,4,3,4,4,3,3,4,3,3,3,3,3,5,3,3,5,3,4
18,5,4,4,4,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,4
19,4,3,1,2,5,2,3,1,2,3,4,5,3,2,2,2,2,2,2,3
20,5,5,5,4,4,3,4,5,5,3,4,4,5,4,4,5,4,5,5,5
21,3,3,2,4,2,2,3,2,2,3,3,2,1,3,3,3,4,3,2,2
22,2,3,1,3,2,3,2,2,2,2,2,2,2,2,3,1,1,2,2,2
23,4,3,3,3,3,5,3,3,5,4,4,3,4,4,4,4,4,5,2,4
24,3,4,4,3,4,4,3,3,4,3,5,5,5,3,5,3,5,4,3,4
25,5,3,2,2,2,2,4,3,2,3,5,2,2,3,4,2,3,4,2,3
26,5,5,5,5,4,5,5,3,4,5,5,5,4,4,4,4,4,5,5,5
27,4,5,5,3,4,4,4,4,5,5,5,5,3,4,3,4,5,5,4,5
28,3,2,2,2,3,2,3,3,3,4,2,1,2,4,4,2,3,4,4,3
29,4,2,3,3,3,3,4,4,4,3,3,3,4,4,3,3,5,4,3,3
30,2,4,4,4,4,5,4,4,4,3,3,5,4,4,3,4,4,4,4,5
31,3,3,3,3,3,5,3,4,3,3,3,3,4,4,3,3,3,4,4,3
32,3,4,3,3,3,2,1,3,4,4,3,3,4,2,4,4,4,2,2,3
33,4,3,2,3,4,3,3,3,4,3,2,3,2,3,3,3,3,4,2,3
34,4,4,3,5,4,3,3,4,4,3,4,3,4,4,4,5,4,4,5,4
35,3,3,5,3,2,3,4,3,3,3,3,3,2,3,3,3,2,4,4,4
36,2,2,4,3,2,3,4,3,2,2,2,3,3,3,1,3,3,3,3,2
37,2,3,1,1,2,1,3,4,2,2,3,1,2,2,1,3,2,2,3,3
38,3,1,2,1,1,2,2,2,1,1,2,1,4,2,2,2,2,2,2,2
39,3,3,3,3,2,2,4,3,3,3,1,4,2,4,2,2,2,4,3,1
40,4,5,3,3,3,3,5,4,3,3,3,3,4,4,3,3,2,4,3,5
41,4,4,4,3,3,1,4,5,4,5,5,3,4,3,5,3,4,4,3,5
42,3,5,5,5,5,3,4,4,5,3,4,4,5,5,5,4,4,4,4,4
43,3,3,1,4,4,3,3,4,4,3,3,2,2,2,3,2,3,3,3,4
44,2,2,3,2,2,3,1,2,1,2,1,2,2,1,2,2,2,2,2,1
45,4,4,5,5,4,3,4,3,4,4,3,4,4,4,3,3,4,3,4,3
46,5,4,5,5,5,5,5,5,5,5,5,4,4,5,3,5,5,4,5,4
47,3,4,2,5,3,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3
48,3,4,2,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,2
49,3,4,5,3,3,4,4,4,4,5,4,3,3,4,5,4,5,2,4,3
50,3,4,4,3,3,2,3,3,3,3,3,4,4,5,4,3,4,4,2,4
51,3,3,3,1,4,2,2,3,3,3,2,2,1,1,2,3,3,3,3,3
52,5,4,4,5,3,4,5,4,4,4,5,4,3,3,3,5,5,4,4,4
53,5,5,5,2,4,4,2,3,3,4,4,4,4,3,5,4,5,4,3,3
54,1,3,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,1,2
55,3,3,4,3,3,4,3,3,3,4,2,5,3,3,3,4,4,4,4,4
56,2,2,2,2,2,1,3,4,1,2,3,3,2,3,2,3,2,2,2,3
57,3,4,3,2,3,3,3,4,2,3,3,4,4,4,4,3,3,5,3,3
58,4,2,4,3,3,3,3,3,3,2,2,3,1,3,3,3,3,3,3,4
59,5,4,2,3,5,3,3,5,4,5,5,3,4,3,4,4,5,5,3,5
60,5,4,3,3,3,4,4,4,4,3,4,4,4,4,3,3,3,2,4,3
61,4,3,5,4,2,5,4,5,4,4,5,4,4,4,4,3,5,3,4,4
62,4,4,2,4,2,1,3,2,3,3,3,2,3,2,3,2,3,3,2,4
63,5,4,4,5,5,5,4,4,4,4,5,4,5,3,4,5,4,4,4,5
64,4,5,4,4,3,3,5,4,4,4,4,4,3,5,4,4,4,4,2,4
65,3,4,3,3,2,2,3,3,2,1,3,3,1,3,1,3,2,3,3,3
66,4,4,2,3,3,4,4,3,4,3,3,1,4,3,3,3,3,4,4,3
67,3,4,2,4,2,5,2,2,2,3,4,2,3,2,3,2,3,2,3,3
68,3,3,3,4,3,2,2,3,3,3,3,3,3,5,4,2,2,3,4,3
69,3,3,3,4,3,4,2,3,5,2,5,3,5,4,4,4,5,3,3,3
70,3,4,4,5,3,4,3,3,4,3,3,3,4,3,2,2,3,4,4,2
