katilimci_no;grup;sinav_puani
1;Çevrimiçi;69,36
2;Çevrimiçi;55,45
3;Çevrimiçi;79,07
4;Çevrimiçi;69,16
5;Çevrimiçi;59,09
6;Çevrimiçi;77,75
7;Çevrimiçi;76,35
8;Çevrimiçi;56,9
9;Çevrimiçi;77,38
10;Çevrimiçi;63,61
11;Çevrimiçi;60,67
12;Çevrimiçi;74,37
13;Çevrimiçi;62,61
14;Çevrimiçi;56,72
15;Çevrimiçi;63,66
16;Çevrimiçi;64,96
17;Çevrimiçi;68,17
18;Çevrimiçi;61,99
19;Çevrimiçi;70,1
20;Çevrimiçi;70,95
21;Çevrimiçi;68,16
22;Çevrimiçi;68,15
23;Çevrimiçi;47,8
24;Çevrimiçi;70,06
25;Çevrimiçi;60,3
26;Çevrimiçi;55,27
27;Çevrimiçi;67,0
28;Çevrimiçi;54,74
29;Çevrimiçi;69,47
30;Çevrimiçi;82,51
31;Çevrimiçi;77,76
32;Çevrimiçi;65,45
33;Çevrimiçi;57,49
34;Çevrimiçi;69,62
35;Çevrimiçi;65,35
36;Çevrimiçi;75,04
37;Çevrimiçi;61,61
38;Çevrimiçi;62,51
39;Çevrimiçi;63,51
40;Çevrimiçi;77,53
41;Çevrimiçi;76,93
42;Çevrimiçi;66,47
43;Çevrimiçi;74,34
44;Çevrimiçi;64,04
45;Çevrimiçi;70,45
46;Çevrimiçi;60,19
47;Çevrimiçi;69,82
48;Çevrimiçi;66,03
49;Çevrimiçi;70,71
50;Çevrimiçi;67,34
51;Yüz yüze;71,15
52;Yüz yüze;83,78
53;Yüz yüze;68,88
54;Yüz yüze;61,63
55;Yüz yüze;77,11
56;Yüz yüze;66,86
57;Yüz yüze;71,23
58;Yüz yüze;77,28
59;Yüz yüze;69,43
60;Yüz yüze;68,94
61;Yüz yüze;74,04
62;Yüz yüze;84,48
63;Yüz yüze;61,86
64;Yüz yüze;78,9
65;Yüz yüze;77,75
66;Yüz yüze;76,61
67;Yüz yüze;75,24
68;Yüz yüze;62,3
69;Yüz yüze;72,42
70;Yüz yüze;68,6
71;Yüz yüze;75,36
72;Yüz yüze;72,98
73;Yüz yüze;64,75
74;Yüz yüze;64,45
75;Yüz yüze;66,01
76;Yüz yüze;83,73
77;Yüz yüze;84,38
78;Yüz yüze;83,61
79;Yüz yüze;77,78
80;Yüz yüze;77,6
81;Yüz yüze;79,66
82;Yüz yüze;81,85
83;Yüz yüze;75,69
84;Yüz yüze;82,2
85;Yüz yüze;82,05
86;Yüz yüze;67,9
87;Yüz yüze;65,71
88;Yüz yüze;72,29
89;Yüz yüze;71,89
90;Yüz yüze;76,27
91;Yüz yüze;86,27
92;Yüz yüze;72,05
93;Yüz yüze;93,14
94;Yüz yüze;66,67
95;Yüz yüze;75,63
96;Yüz yüze;62,85
97;Yüz yüze;68,81
98;Yüz yüze;76,53
99;Yüz yüze;82,76
100;Yüz yüze;81,6
